subj_date	mni_AP_redo	mni_nophysio
10852	1	1
10661	1	1
10637	1	1
10626	1	1
10625	1	1
10689	1	1
10708	1	1
10599	1	1
10565	1	1
10713	1	1
10761	1	1
10629	1	1
10675	1	1
10638	1	1
10406	1	1
10841	1	1
10757	1	1
10783	1	1
10849	1	1
10707	1	1
10572	1	1
10840	1	1
10766	1	1
10768	1	1
10818	1	1
10817	1	1
10772	1	1
10802	1	1
10616	1	1
10826	1	1
10801	1	1
10782	1	1
10589	1	1
10635	1	1
10790	1	1
10812	1	1
10749	1	1
10786	1	1
10843	1	1
10839	1	1
10774	1	1
10627	1	1
10822	1	1
10805	1	1
10762	1	1
10827	1	1
10300	1	1
10821	1	1
10153	1	1
10646	1	1
10814	1	1
10760	1	1
10701	1	1
10674	1	1
10773	1	1
10803	1	1
10776	1	1
10585	1	1
10636	1	1
10887	1	1
10798	1	1
10672	1	1
10633	1	1
10875	1	1
10767	1	1
10700	1	1
10870	1	1
10808	1	1
10813	1	1
10604	1	1
10712	1	1
10873	1	1
10665	1	1
10680	1	1
10673	1	1
10874	1	1
10655	1	1
10664	1	1
10667	1	1
10644	1	1
10652	1	1
10787	1	1
10608	1	1
10842	1	1
10173	1	1
10809	1	1
10568	1	1
10804	1	1
10788	1	1
10869	1	1
10811	1	1
10820	1	1
10824	1	1
10662	1	1
10710	1	1
10888	1	1
10880	1	1
10877	1	1
10879	1	1
10872	1	1
10780	1	1
10152	1	1
10845	1	1
10678	1	1
10703	1	1
10765	1	1
10800	1	1
10807	1	1
10697	1	1
10850	1	1
10567	1	1
10699	1	1
10758	1	1
10871	1	1
10181	1	1
10671	1	1
10847	1	1
10677	1	1
10709	1	1
10797	1	1
10806	1	1
10653	1	1
10881	1	1
10851	1	1
10466	1	1
10747	1	1
